,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
687,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","117,000",5, 56, 3, 1,2023-10-15
688,Madrid,Piso en venta en Tetuán,"Cuzco - Castillejos, Madrid","190,000",0, 44, 2, 1,2023-10-15
689,Madrid,Piso en venta en Chamberí,Madrid,"229,000",0, 68, 3, 1,2023-10-15
690,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","170,000",0, 91, 3, 1,2023-10-15
691,Madrid,Piso en venta en Fuencarral,"Pilar, Madrid","226,000",7, 67, 2, 1,2023-10-15
692,Madrid,Piso en venta en Calle Pensamiento,"Tetuán, Cuzco - Castillejos, Madrid","359,000",6, 97, 3, 1,2023-10-15
693,Madrid,Piso en venta en Moncloa - Aravaca,"Argüelles - Casa De Campo, Madrid","660,000",0, 150, 3, 2,2023-10-15
694,Madrid,Piso en venta en Latina,"Aluche, Madrid","430,000",0, 150,unknown, 2,2023-10-15
695,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","140,000",16, 58, 3, 1,2023-10-15
696,Madrid,Piso en venta en Moncloa - Aravaca,"Valdezarza, Madrid","275,000",6, 73, 3, 1,2023-10-15
697,Madrid,Piso en venta en Villa De Vallecas,"Santa Eugenia, Madrid","230,000",4, 85, 3, 2,2023-10-15
698,Madrid,Piso en venta en San Blas,"Simancas, Madrid","187,000",5, 84, 3, 1,2023-10-15
699,Madrid,Piso en venta en Puente De Vallecas,"Palomeras - Portazgo, Madrid","129,900",7, 56, 3, 1,2023-10-15
700,Madrid,Piso en venta en Fuencarral,"Pilar, Madrid","205,000",0, 57, 2, 1,2023-10-15
701,Madrid,Piso en venta en Fuencarral,"Peñagrande, Madrid","440,000",7, 108, 3, 2,2023-10-15
702,Madrid,Piso en venta en Moncloa - Aravaca,"Valdezarza, Madrid","395,000",0, 75,unknown, 2,2023-10-15
703,Madrid,Box/plaza de garaje en venta en Calle Serrano,"Salamanca, Lista, Madrid","10,000",0, 16,unknown,unknown,2023-10-15
704,Madrid,Local comercial en venta en Tetuán,"Bellas Vistas, Madrid","165,000",0, 36, 1, 2,2023-10-15
705,Madrid,Piso en venta en Villaverde,"San Cristóbal, Madrid","87,000",5, 65, 3, 1,2023-10-15
706,Madrid,Piso en venta en C. Moscareta,"Latina, Puerta Del Ángel, Madrid","318,000",0, 60, 2, 1,2023-10-15
707,Madrid,Piso en venta en C. Moscareta,"Latina, Puerta Del Ángel, Madrid","298,000",0, 80, 3, 1,2023-10-15
708,Madrid,Piso en venta en Moncloa - Aravaca,"Valdezarza, Madrid","170,000",0, 55, 3, 1,2023-10-15
709,Madrid,Piso en venta en Villaverde,"Villaverde Alto, Madrid","167,000",0, 68, 3, 1,2023-10-15
710,Madrid,Piso en venta en Usera,"Almendrales - Pradolongo, Madrid","239,990",0, 113, 3, 2,2023-10-15
711,Madrid,Edificio en venta en Usera,"Almendrales - Pradolongo, Madrid","387,000",0, 274, 3, 1,2023-10-15
712,Madrid,Piso en venta en Villaverde,"Ciudad De Los Angeles, Madrid","129,000",0, 57, 3, 1,2023-10-15
